Date,Open,High,Low,Close,Volume
2022-07-15,307.45,308.14,302.1,307.91,125245332
2022-07-18,311.06,315.17,310.6,314.87,113852019
2022-07-19,313.38,314.06,311.81,313.9,95255739
2022-07-20,319.15,319.68,315.48,316.02,113805602
2022-07-21,316.22,320.14,316.22,319.68,91222451
2022-07-22,319.12,320.94,317.0,317.33,120586339
2022-07-25,316.4,320.07,316.2,318.34,94023603
2022-07-26,317.39,319.91,317.03,319.61,87527181
2022-07-27,319.83,320.04,317.3,319.74,88689057
2022-07-28,322.89,323.73,320.76,321.62,131104836
2022-07-29,324.38,325.83,321.95,323.31,163690816
2022-08-01,322.14,324.31,320.86,322.97,111147238
2022-08-02,322.64,322.85,320.21,321.64,113133823
2022-08-03,321.48,323.8,320.25,323.8,93895638
2022-08-04,326.11,326.4,324.38,325.47,110170799
2022-08-05,326.71,328.47,326.36,327.5,119887687
2022-08-08,326.05,327.45,325.21,327.23,113665684
2022-08-09,327.21,328.62,325.28,328.11,121621764
2022-08-10,326.3,326.43,323.86,324.35,134971484
2022-08-11,328.2,329.92,327.74,329.92,140037693
2022-08-12,329.23,331.12,329.07,330.67,138074595
2022-08-16,332.68,333.47,331.08,331.78,131425519
2022-08-17,332.11,333.24,329.3,329.91,105787944
2022-08-18,327.47,329.94,326.06,328.8,101500352
2022-08-19,329.06,329.08,326.34,326.79,125260656
2022-08-22,323.29,324.42,321.83,322.77,93521614
2022-08-23,320.85,321.5,318.26,318.69,118040664
2022-08-24,320.15,320.99,318.16,319.86,156496654
2022-08-25,321.58,323.63,320.81,323.63,130657394
2022-08-26,325.36,326.59,323.3,323.91,188815787
2022-08-29,317.45,317.47,315.48,316.35,203734909
2022-08-30,317.97,320.0,316.94,319.49,133480207
2022-08-31,316.96,323.37,316.26,322.96,228418331
2022-09-01,318.74,318.76,315.02,315.02,183420887
2022-09-02,316.46,316.74,312.18,312.92,133783288
2022-09-05,313.09,315.22,310.91,312.47,112444002
2022-09-06,313.36,314.97,311.69,313.01,91544623
2022-09-07,310.86,311.1,306.69,308.16,146286610
2022-09-08,310.23,310.51,308.26,309.12,149121338
2022-09-13,313.93,319.37,313.93,318.56,150586396
2022-09-14,310.08,313.94,309.06,312.74,118207469
2022-09-15,313.15,313.84,310.63,310.63,111218127
2022-09-16,308.58,309.54,307.03,308.69,135937347
2022-09-19,309.58,309.89,305.68,306.49,101185844
2022-09-20,308.76,309.98,306.79,307.54,96957189
